region,observed_distance_m,observed_distance_miles,p_value,plot_path
WCS,571454.6094598962,355.08532213470517,0,images/all/WCS_distance_distribution.png
WP,959317.4243524664,596.0920272873163,1,images/all/WP_distance_distribution.png
WM,1006995.1754122659,625.7175991410951,0,images/all/WM_distance_distribution.png
WNC,765864.8781165387,475.8862251801518,0,images/all/WNC_distance_distribution.png
ENC,527431.4117956595,327.7305837788807,0,images/all/ENC_distance_distribution.png
ESC,415167.1854823445,257.97284921034986,0.01,images/all/ESC_distance_distribution.png
SA,751504.7527037319,466.9632596922706,1,images/all/SA_distance_distribution.png
MA,347726.63523542654,216.06724706287224,0,images/all/MA_distance_distribution.png
NE,317504.83101689315,197.2882943537979,0,images/all/NE_distance_distribution.png
