AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LATITUDE,LONGITUDE,AIRPORT_IS_LATEST
1312001,13120,LVS,Las Vegas Municipal,"Las Vegas, NM",86,United States,US,New Mexico,NM,35,33120,"Las Vegas, NM",86,35,N,35.65416667,-105.14250000,1
1312101,13121,LWB,Greenbrier Valley,"Lewisburg, WV",39,United States,US,West Virginia,WV,54,33121,"Lewisburg, WV",39,37,N,37.85972222,-80.39861111,0
1312102,13121,LWB,Greenbrier Valley,"Lewisburg, WV",39,United States,US,West Virginia,WV,54,33121,"Lewisburg, WV",39,37,N,37.85833333,-80.39944444,1
1312201,13122,LWC,Lawrence Municipal,"Lawrence, KS",62,United States,US,Kansas,KS,20,33122,"Lawrence, KS",62,39,N,39.00916667,-95.21750000,0
1312202,13122,LWC,Lawrence Municipal,"Lawrence, KS",62,United States,US,Kansas,KS,20,33122,"Lawrence, KS",62,39,N,39.01111111,-95.21638889,0
1312203,13122,LWC,Lawrence Regional,"Lawrence, KS",62,United States,US,Kansas,KS,20,33122,"Lawrence, KS",62,39,N,39.01111111,-95.21638889,1
1312301,13123,LWF,Lawrenceburg-Lawrence County,"Lawrenceburg, TN",54,United States,US,Tennessee,TN,47,33123,"Lawrenceburg, TN",54,35,N,35.23416667,-87.25805556,0
1312302,13123,LWF,Lawrenceburg-Lawrence County,"Lawrenceburg, TN",54,United States,US,Tennessee,TN,47,33123,"Lawrenceburg, TN",54,35,N,35.23444444,-87.25805556,0
1312303,13123,LWF,Lawrenceburg-Lawrence County,"Lawrenceburg, TN",54,United States,US,Tennessee,TN,47,33123,"Lawrenceburg, TN",54,35,N,35.23416667,-87.25805556,0
1312304,13123,LWF,Lawrenceburg-Lawrence County,"Lawrenceburg, TN",54,United States,US,Tennessee,TN,47,33123,"Lawrenceburg, TN",54,35,N,35.23444444,-87.25805556,1
1312401,13124,LWL,Harriet Field,"Wells, NV",85,United States,US,Nevada,NV,32,33124,"Wells, NV",85,41,N,41.11388889,-114.92333333,0
1312402,13124,LWL,Wells Municipal/Harriet Field,"Wells, NV",85,United States,US,Nevada,NV,32,33124,"Wells, NV",85,41,N,41.11722222,-114.92222222,1
1312501,13125,LWM,Lawrence Municipal,"Lawrence, MA",13,United States,US,Massachusetts,MA,25,33125,"Lawrence, MA",13,42,N,42.71750000,-71.12250000,0
1312502,13125,LWM,Lawrence Municipal,"Lawrence, MA",13,United States,US,Massachusetts,MA,25,33125,"Lawrence, MA",13,42,N,42.71722222,-71.12333333,0
1312503,13125,LWM,Lawrence Municipal,"Lawrence, MA",13,United States,US,Massachusetts,MA,25,33125,"Lawrence, MA",13,42,N,42.71722222,-71.12361111,0
1312504,13125,LWM,Lawrence Municipal,"Lawrence, MA",13,United States,US,Massachusetts,MA,25,33125,"Lawrence, MA",13,42,N,42.71722222,-71.12333333,0
1312505,13125,LWM,Lawrence Municipal,"Lawrence, MA",13,United States,US,Massachusetts,MA,25,33125,"Lawrence, MA",13,42,N,42.71722222,-71.12361111,0
1312506,13125,LWM,Lawrence Municipal,"Lawrence, MA",13,United States,US,Massachusetts,MA,25,33125,"Lawrence, MA",13,42,N,42.71694444,-71.12361111,1
1312601,13126,LWO,Snilow,"Lviv, U.S.S.R.",489,U.S.S.R.,SU,,,,33126,"Lviv, U.S.S.R.",489,49,N,49.81250000,23.95750000,0
1312602,13126,LWO,Lviv International,"Lviv, Ukraine",488,Ukraine,UA,,,,33126,"Lviv, Ukraine",488,49,N,49.81250000,23.95750000,0
1312603,13126,LWO,Lviv International,"Lviv, Ukraine",488,Ukraine,UA,,,,33126,"Lviv, Ukraine",488,49,N,49.80972222,23.95805556,0
1312604,13126,LWO,Lviv International,"Lviv, Ukraine",488,Ukraine,UA,,,,33126,"Lviv, Ukraine",488,49,N,49.80972222,23.95833333,0
1312605,13126,LWO,Lviv International,"Lviv, Ukraine",488,Ukraine,UA,,,,33126,"Lviv, Ukraine",488,49,N,49.81250000,23.95750000,0
1312606,13126,LWO,Lviv International,"Lviv, Ukraine",488,Ukraine,UA,,,,33126,"Lviv, Ukraine",488,49,N,49.80972222,23.95833333,1
1312701,13127,LWS,Lewiston Nez Perce County,"Lewiston, ID",83,United States,US,Idaho,ID,16,33127,"Lewiston, ID",83,46,N,46.37472222,-117.01444444,0
1312702,13127,LWS,Lewiston Nez Perce County,"Lewiston, ID",83,United States,US,Idaho,ID,16,33127,"Lewiston, ID",83,46,N,46.37444444,-117.01527778,0
1312703,13127,LWS,Lewiston Nez Perce County,"Lewiston, ID",83,United States,US,Idaho,ID,16,33127,"Lewiston, ID",83,46,N,46.37166667,-117.00694444,1
1312801,13128,LWT,Lewistown Municipal,"Lewistown, MT",84,United States,US,Montana,MT,30,33128,"Lewistown, MT",84,47,N,47.05111111,-109.47111111,0
1312802,13128,LWT,Lewistown Municipal,"Lewistown, MT",84,United States,US,Montana,MT,30,33128,"Lewistown, MT",84,47,N,47.04916667,-109.46666667,0
1312803,13128,LWT,Lewistown Municipal,"Lewistown, MT",84,United States,US,Montana,MT,30,33128,"Lewistown, MT",84,47,N,47.04888889,-109.46722222,1
1312901,13129,LWV,Lawrenceville-Vincennes International,"Lawrenceville, IL",41,United States,US,Illinois,IL,17,33129,"Lawrenceville, IL",41,38,N,38.76305556,-87.60111111,0
